"","tweet number","date","word"
"1",1,"Nov 25","children"
"2",2,"Nov 25","from"
"3",3,"Nov 25","parents"
"4",4,"Nov 25","as"
"5",5,"Nov 25","did"
"6",6,"Nov 25","bush"
"7",7,"Nov 25","etc"
"8",8,"Nov 25","because"
"9",9,"Nov 25","that"
"10",10,"Nov 25","is"
"11",11,"Nov 25","the"
"12",12,"Nov 25","policy"
"13",13,"Nov 25","and"
"14",14,"Nov 25","law"
"15",15,"Nov 25","i"
"16",16,"Nov 25","tried"
"17",17,"Nov 25","to"
"18",18,"Nov 25","keep"
"19",19,"Nov 25","them"
"20",20,"Nov 25","together"
"21",21,"Nov 25","but"
"22",22,"Nov 25","the"
"23",23,"Nov 25","problem"
"24",24,"Nov 25","is"
"25",25,"Nov 25","when"
"26",26,"Nov 25","you"
"27",27,"Nov 25","do"
"28",28,"Nov 25","that"
"29",29,"Nov 25","vast"
"30",30,"Nov 25","numbers"
"31",31,"Nov 25","of"
"32",32,"Nov 25","additional"
"33",33,"Nov 25","people"
"34",34,"Nov 25","storm"
"35",35,"Nov 25","the"
"36",36,"Nov 25","border"
"37",37,"Nov 25","so"
"38",38,"Nov 25","with"
"39",39,"Nov 25","obama"
"40",40,"Nov 25","seperation"
"41",41,"Nov 25","is"
"42",42,"Nov 25","fine"
"43",43,"Nov 25","but"
"44",44,"Nov 25","with"
"45",45,"Nov 25","trump"
"46",46,"Nov 25","it’s"
"47",47,"Nov 25","not"
"48",48,"Nov 25","fake"
"49",49,"Nov 25","60"
"50",50,"Nov 25","minutes"
"51",51,"Nov 25","60minutes"
"52",52,"Nov 25","did"
"53",53,"Nov 25","a"
"54",54,"Nov 25","phony"
"55",55,"Nov 25","story"
"56",56,"Nov 25","about"
"57",57,"Nov 25","child"
"58",58,"Nov 25","separation"
"59",59,"Nov 25","when"
"60",60,"Nov 25","they"
"61",61,"Nov 25","know"
"62",62,"Nov 25","we"
"63",63,"Nov 25","had"
"64",64,"Nov 25","the"
"65",65,"Nov 25","exact"
"66",66,"Nov 25","same"
"67",67,"Nov 25","policy"
"68",68,"Nov 25","as"
"69",69,"Nov 25","the"
"70",70,"Nov 25","obama"
"71",71,"Nov 25","administration"
"72",72,"Nov 25","in"
"73",73,"Nov 25","fact"
"74",74,"Nov 25","a"
"75",75,"Nov 25","picture"
"76",76,"Nov 25","of"
"77",77,"Nov 25","children"
"78",78,"Nov 25","in"
"79",79,"Nov 25","jails"
"80",80,"Nov 25","was"
"81",81,"Nov 25","used"
"82",82,"Nov 25","by"
"83",83,"Nov 25","other"
"84",84,"Nov 25","fake"
"85",85,"Nov 25","media"
"86",86,"Nov 25","to"
"87",87,"Nov 25","show"
"88",88,"Nov 25","how"
"89",89,"Nov 25","bad"
"90",90,"Nov 25","cruel"
"91",91,"Nov 25","we"
"92",92,"Nov 25","are"
"93",93,"Nov 25","but"
"94",94,"Nov 25","it"
"95",95,"Nov 25","was"
"96",96,"Nov 25","in"
"97",97,"Nov 25","2014"
"98",98,"Nov 25","during"
"99",99,"Nov 25","o"
"100",100,"Nov 25","years"
"101",101,"Nov 25","obama"
"102",102,"Nov 25","separated"
"103",103,"Nov 25","clinton"
"104",104,"Nov 25","foundation"
