"","text","created"
"1","Great honor to be headed to the Army-Navy game today. Will be there shortly, landing now! https://t.co/ByAfESq8aS",2018-12-08
"2","....left and right, he then woke up from his dream screaming that HE LIED. Next time I go to Vietnam I will ask “th… https://t.co/g9qUFnCBfh",2018-12-08
"3","Watched Da Nang Dick Blumenthal on television spewing facts almost as accurate as his bravery in Vietnam (which he… https://t.co/euNS4b3bMi",2018-12-08
"4","Very sad day &amp; night in Paris. Maybe it’s time to end the ridiculous and extremely expensive Paris Agreement and re… https://t.co/bKxAvaGehG",2018-12-08
"5","“This is collusion illusion, there is no smoking gun here. At this late date, after all that we have gone through,… https://t.co/nEpu0IoYa8",2018-12-08
"6","....I am thankful to both of these incredible men for their service to our Country! Date of transition to be determined.",2018-12-08
"7","I am pleased to announce my nomination of four-star General Mark Milley, Chief of Staff of the United States Army –… https://t.co/fdIELZ88xe",2018-12-08
"8","AFTER TWO YEARS AND MILLIONS OF PAGES OF DOCUMENTS (and a cost of over $30,000,000), NO COLLUSION!",2018-12-08
"9","The idea of a European Military didn’t work out too well in W.W. I or 2. But the U.S. was there for you, and always… https://t.co/G9PYIJDR2b",2018-12-08
"10","The Paris Agreement isn’t working out so well for Paris. Protests and riots all over France. People do not want to… https://t.co/Zgn65EgKzB",2018-12-08
"11","Totally clears the President. Thank you!",2018-12-07
"12","It is being reported that Leakin' James Comey was told by Department of Justice attorneys not to answer the most im… https://t.co/hn0AZ1oXmz",2018-12-07
"13","Hopefully Mitch McConnell will ask for a VOTE on Criminal Justice Reform. It is extremely popular and has strong bi… https://t.co/mHWU9f3Fj6",2018-12-07
"14","Mike Pompeo is doing a great job, I am very proud of him. His predecessor, Rex Tillerson, didn’t have the mental ca… https://t.co/gJDjQCcvh7",2018-12-07
"15","....and one of the most highly respected lawyers and legal minds in the Country, he will be a great addition to our… https://t.co/mTQYgkvSiO",2018-12-07
"16","I am pleased to announce that I will be nominating The Honorable William P. Barr for the position of Attorney Gener… https://t.co/3eRyjNNxrv",2018-12-07
"17","I am pleased to announce that Heather Nauert, Spokeswoman for the United States Department of State, will be nomina… https://t.co/LlHLZ1kjuw",2018-12-07
"18","We will be doing a major Counter Report to the Mueller Report. This should never again be allowed to happen to a fu… https://t.co/QYwAHzsQFM",2018-12-07
"19","Today, we honor those who perished 77 years ago at Pearl Harbor, and we salute every veteran who served in World Wa… https://t.co/Of09Q74oeW",2018-12-07
