"","date","word"
"1","Nov 25","children"
"2","Nov 25","from"
"3","Nov 25","parents"
"4","Nov 25","as"
"5","Nov 25","did"
"6","Nov 25","bush"
"7","Nov 25","etc"
"8","Nov 25","because"
"9","Nov 25","that"
"10","Nov 25","is"
"11","Nov 25","the"
"12","Nov 25","policy"
"13","Nov 25","and"
"14","Nov 25","law"
"15","Nov 25","i"
"16","Nov 25","tried"
"17","Nov 25","to"
"18","Nov 25","keep"
"19","Nov 25","them"
"20","Nov 25","together"
"21","Nov 25","but"
"22","Nov 25","the"
"23","Nov 25","problem"
"24","Nov 25","is"
"25","Nov 25","when"
"26","Nov 25","you"
"27","Nov 25","do"
"28","Nov 25","that"
"29","Nov 25","vast"
"30","Nov 25","numbers"
"31","Nov 25","of"
"32","Nov 25","additional"
"33","Nov 25","people"
"34","Nov 25","storm"
"35","Nov 25","the"
"36","Nov 25","border"
"37","Nov 25","so"
"38","Nov 25","with"
"39","Nov 25","obama"
"40","Nov 25","seperation"
"41","Nov 25","is"
"42","Nov 25","fine"
"43","Nov 25","but"
"44","Nov 25","with"
"45","Nov 25","trump"
"46","Nov 25","it’s"
"47","Nov 25","not"
"48","Nov 25","fake"
"49","Nov 25","60"
"50","Nov 25","minutes"
"51","Nov 25","60minutes"
"52","Nov 25","did"
"53","Nov 25","a"
"54","Nov 25","phony"
"55","Nov 25","story"
"56","Nov 25","about"
"57","Nov 25","child"
"58","Nov 25","separation"
"59","Nov 25","when"
"60","Nov 25","they"
"61","Nov 25","know"
"62","Nov 25","we"
"63","Nov 25","had"
"64","Nov 25","the"
"65","Nov 25","exact"
"66","Nov 25","same"
"67","Nov 25","policy"
"68","Nov 25","as"
"69","Nov 25","the"
"70","Nov 25","obama"
"71","Nov 25","administration"
"72","Nov 25","in"
"73","Nov 25","fact"
"74","Nov 25","a"
"75","Nov 25","picture"
"76","Nov 25","of"
"77","Nov 25","children"
"78","Nov 25","in"
"79","Nov 25","jails"
"80","Nov 25","was"
"81","Nov 25","used"
"82","Nov 25","by"
"83","Nov 25","other"
"84","Nov 25","fake"
"85","Nov 25","media"
"86","Nov 25","to"
"87","Nov 25","show"
"88","Nov 25","how"
"89","Nov 25","bad"
"90","Nov 25","cruel"
"91","Nov 25","we"
"92","Nov 25","are"
"93","Nov 25","but"
"94","Nov 25","it"
"95","Nov 25","was"
"96","Nov 25","in"
"97","Nov 25","2014"
"98","Nov 25","during"
"99","Nov 25","o"
"100","Nov 25","years"
"101","Nov 25","obama"
"102","Nov 25","separated"
"103","Nov 25","clinton"
"104","Nov 25","foundation"
"105","Nov 25","donations"
"106","Nov 25","drop"
"107","Nov 25","42"
"108","Nov 25","which"
"109","Nov 25","shows"
"110","Nov 25","that"
"111","Nov 25","they"
"112","Nov 25","illegally"
"113","Nov 25","played"
"114","Nov 25","the"
"115","Nov 25","power"
"116","Nov 25","game"
"117","Nov 25","they"
"118","Nov 25","monetized"
"119","Nov 25","their"
"120","Nov 25","political"
"121","Nov 25","influence"
"122","Nov 25","through"
"123","Nov 25","the"
"124","Nov 25","foundation"
"125","Nov 25","during"
"126","Nov 25","her"
"127","Nov 25","tenure"
"128","Nov 25","the"
"129","Nov 25","state"
"130","Nov 25","department"
"131","Nov 25","was"
"132","Nov 25","put"
"133","Nov 25","in"
"134","Nov 25","the"
"135","Nov 25","service"
"136","Nov 25","of"
"137","Nov 25","the"
"138","Nov 25","clinton"
"139","Nov 25","foundation"
"140","Nov 25","andrew"
"141","Nov 25","mccarthy"
"142","Nov 25","europe"
"143","Nov 25","has"
"144","Nov 25","to"
"145","Nov 25","pay"
"146","Nov 25","their"
"147","Nov 25","fair"
"148","Nov 25","share"
"149","Nov 25","for"
"150","Nov 25","military"
"151","Nov 25","protection"
"152","Nov 25","the"
"153","Nov 25","european"
"154","Nov 25","union"
"155","Nov 25","for"
"156","Nov 25","many"
"157","Nov 25","years"
"158","Nov 25","has"
"159","Nov 25","taken"
"160","Nov 25","advantage"
"161","Nov 25","of"
"162","Nov 25","us"
"163","Nov 25","on"
"164","Nov 25","trade"
"165","Nov 25","and"
"166","Nov 25","then"
"167","Nov 25","they"
"168","Nov 25","don’t"
"169","Nov 25","live"
"170","Nov 25","up"
"171","Nov 25","to"
"172","Nov 25","their"
"173","Nov 25","military"
"174","Nov 25","commitment"
"175","Nov 25","through"
"176","Nov 25","nato"
"177","Nov 25","things"
"178","Nov 25","must"
"179","Nov 25","change"
"180","Nov 25","fast"
"181","Nov 25","general"
"182","Nov 25","anthony"
"183","Nov 25","tata"
"184","Nov 25","president"
"185","Nov 25","trump"
"186","Nov 25","is"
"187","Nov 25","a"
"188","Nov 25","man"
"189","Nov 25","of"
"190","Nov 25","his"
"191","Nov 25","word"
"192","Nov 25","he"
"193","Nov 25","said"
"194","Nov 25","he"
"195","Nov 25","was"
"196","Nov 25","going"
"197","Nov 25","to"
"198","Nov 25","be"
"199","Nov 25","tough"
"200","Nov 25","on"
"201","Nov 25","the"
"202","Nov 25","border"
"203","Nov 25","and"
"204","Nov 25","he"
"205","Nov 25","is"
"206","Nov 25","tough"
"207","Nov 25","on"
"208","Nov 25","the"
"209","Nov 25","border"
"210","Nov 25","he"
"211","Nov 25","has"
"212","Nov 25","rightfully"
"213","Nov 25","strengthened"
"214","Nov 25","the"
"215","Nov 25","border"
"216","Nov 25","in"
"217","Nov 25","the"
"218","Nov 25","face"
"219","Nov 25","of"
"220","Nov 25","an"
"221","Nov 25","unprecedented"
"222","Nov 25","threat"
"223","Nov 25","it’s"
"224","Nov 25","the"
"225","Nov 25","right"
"226","Nov 25","move"
"227","Nov 25","by"
"228","Nov 25","president"
"229","Nov 25","trump"
"230","Nov 25","thanks"
"231","Nov 25","general"
"232","Nov 25","mississippi"
"233","Nov 25","vote"
"234","Nov 25","for"
"235","Nov 25","cindyhydesmith"
"236","Nov 25","on"
"237","Nov 25","tuesday"
"238","Nov 25","respected"
"239","Nov 25","by"
"240","Nov 25","all"
"241","Nov 25","we"
"242","Nov 25","need"
"243","Nov 25","her"
"244","Nov 25","in"
"245","Nov 25","washington"
"246","Nov 25","thanks"
"247","Nov 25","so"
"248","Nov 25","great"
"249","Nov 25","that"
"250","Nov 25","oil"
"251","Nov 25","prices"
"252","Nov 25","are"
"253","Nov 25","falling"
"254","Nov 25","thank"
"255","Nov 25","you"
"256","Nov 25","president"
"257","Nov 25","t"
"258","Nov 25","add"
"259","Nov 25","that"
"260","Nov 25","which"
"261","Nov 25","is"
"262","Nov 25","like"
"263","Nov 25","a"
"264","Nov 25","big"
"265","Nov 25","tax"
"266","Nov 25","cut"
"267","Nov 25","to"
"268","Nov 25","our"
"269","Nov 25","other"
"270","Nov 25","good"
"271","Nov 25","economic"
"272","Nov 25","news"
"273","Nov 25","inflation"
